epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1375.15,0.95411,1.25591,0.48777,0.86496,0.88183,0.8141,0.89932,0.52915,0.693,0.64952,0.65779,0.26068,1.31208,1.81113,0.58565,0.91543,0.000550813,0.000550813,0.000550813
115,1387.14,0.99487,1.30619,0.49813,0.86685,0.91312,0.79089,0.89916,0.53072,0.69144,0.59055,0.62851,0.24375,1.32089,1.85896,0.581,0.91893,0.000544625,0.000544625,0.000544625
116,1399.24,0.96265,1.27419,0.48976,0.8652,0.90656,0.82255,0.9072,0.55869,0.70238,0.61216,0.63959,0.25958,1.27537,1.68774,0.56765,0.91156,0.000538438,0.000538438,0.000538438
117,1411.3,0.96626,1.27727,0.48673,0.86074,0.90224,0.81708,0.90797,0.55474,0.68792,0.65629,0.65861,0.27101,1.2543,1.64604,0.56379,0.91362,0.00053225,0.00053225,0.00053225
118,1423.29,0.93394,1.24886,0.48461,0.86167,0.88724,0.83468,0.9052,0.54858,0.69542,0.61534,0.6535,0.26204,1.27629,1.68223,0.57452,0.91397,0.000526063,0.000526063,0.000526063
119,1435.29,0.94726,1.27761,0.48375,0.86218,0.87683,0.86512,0.91397,0.54603,0.66063,0.652,0.65229,0.25981,1.27887,1.73799,0.58016,0.91086,0.000519875,0.000519875,0.000519875
120,1447.29,0.9586,1.29316,0.48725,0.86125,0.92436,0.81013,0.9126,0.53454,0.72446,0.62231,0.65305,0.25348,1.29465,1.79449,0.57757,0.91333,0.000513688,0.000513688,0.000513688
121,1459.29,0.96809,1.27841,0.49007,0.86513,0.91692,0.80856,0.90342,0.53742,0.71138,0.60057,0.6288,0.23994,1.28834,1.82035,0.57592,0.91489,0.0005075,0.0005075,0.0005075
122,1471.37,0.94908,1.25525,0.47943,0.86089,0.91128,0.86216,0.92867,0.56514,0.70613,0.6474,0.6636,0.26722,1.2526,1.65184,0.56395,0.91068,0.000501313,0.000501313,0.000501313
123,1483.5,0.95902,1.25026,0.48271,0.85605,0.91201,0.84014,0.92854,0.55784,0.71288,0.65946,0.6782,0.25805,1.2596,1.72035,0.57056,0.9129,0.000495125,0.000495125,0.000495125
124,1495.51,0.94915,1.27898,0.48035,0.86165,0.91463,0.83047,0.91153,0.54486,0.73193,0.64363,0.6691,0.26032,1.27011,1.76283,0.57073,0.91881,0.000488938,0.000488938,0.000488938
125,1507.33,0.94858,1.25605,0.48253,0.85716,0.92223,0.81933,0.91439,0.53811,0.75229,0.59807,0.64567,0.24069,1.31464,1.89043,0.5819,0.92114,0.00048275,0.00048275,0.00048275
126,1519.21,0.93251,1.24411,0.47335,0.86029,0.91365,0.84305,0.92438,0.56492,0.72795,0.66508,0.69554,0.27074,1.22892,1.62197,0.55725,0.91589,0.000476562,0.000476562,0.000476562
